GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.969549179,0.143481303,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.979319096,0.143280453,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.938715935,0.144118884,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,7.001696587,0.142822527,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.974262714,0.143384332,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.46511078,0.057257009,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.19662857,0.058150933,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.10903358,0.058448655,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.03313065,0.058709113,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,16.69219208,0.059908249,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.09203911,0.05850677,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,16.72221756,0.059800681,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.27558136,0.057885172,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.33407211,0.057689849,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.60160637,0.056812996,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.43299484,0.05736249,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.32820511,0.057709382,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
