GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s)
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.714051723,0.212131741
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.558721542,0.219359746
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.609920025,0.216923503
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.196046352,0.312886576
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.190205812,0.3134594
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.08484292,0.324165614
9.526,20462334,30.3,0.040374826,0.5625,2926986,2.983743906,0.335149407
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.212003469,0.311332167
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.194845676,0.313004164
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.06139946,0.326647996
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.177171946,0.31474532
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.138751268,0.318598039
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.178123474,0.314651085
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.058331013,0.326975725
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.18288517,0.314180357
9.526,20462334,30.3,0.040374826,0.5625,2926986,3.1752038,0.314940414
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.401991636,2.487613946
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.42381084,2.359543234
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.413502514,2.418364982
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.410696119,2.434890309
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.415467411,2.406927652
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.414065808,2.415075045
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.416626334,2.400232339
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.411072224,2.432662539
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.418948352,2.386929069
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.415465623,2.40693801
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.424342155,2.356588871
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.413566351,2.41799169
9.526,183350654,30.3,0.462785686,5.0625,26204362,0.400563717,2.496481727
