GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
4.113,0.01030535117,860117021,0.3,,,1063226,7.651000023,0.130701869,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.645947456,0.130788239,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.618710995,0.131255799,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.503590584,0.133269531,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.523610592,0.132914907,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.276145935,0.137435396,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.696588039,0.129927702,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.583947182,0.131857458,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.61167717,0.13137709,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.637586117,0.130931421,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.672476768,0.130336009,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
4.113,0.01030535117,860117021,0.3,,,1063226,7.633645535,0.130999009,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
