GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,8478384,0.3,,,1211194,6.513130665,0.153535995,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.487434387,0.154144141,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.495615959,0.153949988,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.515946865,0.153469637,K80,custom2,0.2104998841,0.1489162187
4.113,10161984,0.3,,,1451706,5.020240784,0.199193633,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.913663864,0.203514125,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.978164196,0.200877263,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.909885883,0.203670721,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.748450279,0.210595024,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.936988831,0.202552615,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.915909767,0.203421146,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.885709763,0.204678552,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.881494045,0.204855315,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.925238132,0.203035868,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.749066353,0.210567704,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.935577869,0.20261052,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.998350143,0.200066016,K80,custom3,0.1675177028,0.1882045996
4.113,18435676,0.3,,,2633658,3.442054033,0.290524202,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.455518007,0.289392212,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.445611954,0.290224208,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.344433069,0.299004339,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.448638678,0.28996949,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.432699919,0.291315881,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.451473951,0.28973129,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.433761597,0.291225809,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.366499662,0.297044438,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.458408117,0.289150374,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.451893091,0.28969611,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.457201958,0.289251254,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.461684465,0.288876704,K80,custom4,0.07037662887,0.381278942
4.113,23737328,0.3,,,3391034,2.893651247,0.345584148,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.894292831,0.345507541,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.823950052,0.354113912,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.893695116,0.345578909,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.893852234,0.345560146,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.88970089,0.346056578,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.796462297,0.357594666,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.888324022,0.346221543,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.885887146,0.346513897,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.891526937,0.345838037,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.813499928,0.35542919,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.885677814,0.346539033,K80,custom5,0.04372882372,0.5049979508
4.113,23737328,0.3,,,3391034,2.878062248,0.347456001,K80,custom5,0.04372882372,0.5049979508
9.526,7442600,0.3,,,1063226,17.46511078,0.057257009,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.19662857,0.058150933,P100,custom1,0.6355570976,0.02605427705
