GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,0.1489893754,3943594121,0.3,,,4610362,2.197183609,0.455128099,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.252702713,0.443911216,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.244303942,0.445572447,K80,custom6,0.1361648354,0.1489893754
4.113,0.1951960826,4970946221,0.3,,,5718842,1.786564231,0.559733584,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.764783144,0.566641858,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.778690696,0.562211295,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.791554928,0.558174346,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.770513773,0.564807806,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.794423699,0.557281984,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.79624176,0.556717933,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.765581608,0.566385601,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.786681414,0.559696873,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.792325258,0.557934446,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.766345859,0.566140541,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.786755085,0.559673795,K80,custom7,0.1021581949,0.1951960826
4.113,0.1951960826,4970946221,0.3,,,5718842,1.78548336,0.560072428,K80,custom7,0.1021581949,0.1951960826
4.113,0.2361785951,5882144461,0.3,,,6421306,1.521830797,0.657103275,K80,custom8,0.0819366742,0.2361785951
